Wavelength,Excitation,Emission
522,57.96108193,2.03260317
523,56.59084575,2.068107057
524,55.52206382,2.222569592
525,54.50807875,2.362022161
526,53.11044414,2.510012995
527,52.0416479,2.626291342
528,51.0002787,2.800475638
529,49.65744096,3.046406557
530,48.58865902,3.168918909
531,47.57467395,3.326493963
532,46.17703934,3.584427291
533,45.21786544,3.761158025
534,44.20389467,4.063183855
535,42.83364419,4.321518443
536,41.84708615,4.549270529
537,40.83310108,4.781913177
538,39.4628649,5.047401987
539,38.50369099,5.390956004
540,37.51711866,5.697641525
541,36.22910637,6.035607401
542,35.32474363,6.281983988
543,34.39298246,6.637311723
544,33.15976703,6.878909174
545,32.28281702,7.159119549
546,31.40586701,7.40593482
547,30.20005002,7.667105118
548,29.35051274,7.949155097
549,28.50096116,8.328080898
550,27.3225569,8.435353156
551,26.50040376,8.741167157
552,25.67826491,9.025918041
553,24.60948297,9.298831049
554,23.89695215,9.549734767
555,23.1570229,9.845689989
556,22.14305213,10.15752302
557,21.45793404,10.49461342
558,20.80021438,10.88176442
559,19.89586594,11.14395966
560,19.26554471,11.54831881
561,18.66265052,11.87328816
562,17.81309894,12.26545045
563,17.23760317,12.74771448
564,16.68950584,13.20777273
565,15.89476543,13.79209401
566,15.37408083,14.17923368
567,14.85338193,14.75044758
568,14.14085968,15.21986172
569,13.64757495,15.84811628
570,13.15428878,16.3292911
571,12.49657341,16.87305757
572,12.03069282,17.59844678
573,11.56481223,18.21220303
574,10.93450245,18.93538183
575,10.52343159,19.61789226
576,10.13976346,20.197558
577,9.564263408,20.91707494
578,9.153192554,21.6517642
579,8.769525851,22.33040927
580,8.276239683,23.27303355
581,7.919977132,23.96404601
582,7.591120163,24.89978603
583,7.125239575,25.46109164
584,6.823788188,26.34821721
585,6.494929789,27.06146627
586,6.111263086,28.16205716
587,5.83721585,29.17746007
588,5.563168614,30.051115
589,5.206906064,31.11455158
590,4.987667131,32.23472487
591,4.768429628,32.98937913
592,4.46697681,34.18156248
593,4.247739308,35.03276681
594,4.055905956,36.14867217
595,3.754453139,37.24143371
596,3.562619788,38.48630904
597,3.370786437,39.81917049
598,3.151548934,40.83010309
599,3.014523886,42.2133481
600,2.877500268,43.09032456
601,2.630857183,44.09374093
602,2.493833565,44.9974035
603,2.356809947,46.02875544
604,2.164976596,46.97011699
605,2.05535713,48.21178704
606,1.945739093,50.1160506
607,1.781309894,51.24740345
608,1.699096009,52.26710671
609,1.616880694,53.31640338
610,1.479857076,54.06734336
611,1.370238325,55.44162594
612,1.260619287,56.6943904
613,1.15100025,57.89701228
614,1.068785936,59.08214728
615,0.986571623,60.311926
616,0.904357309,61.25847478
617,0.822142995,62.58144499
618,0.739928824,63.74299549
619,0.65771451,65.08562121
620,0.60290492,66.35902902
